"UID","PID","LEGTYPE","CHAMBER","CHAMBERANK","STATECODE","STATE","DISTRICT","DISTRAIL","DISTYPE","PARTYRANK","PERCENTVOT","ELECTDATE","REELECTYR","ELECTCODE","FECLINK","PYRACUSC","CYRACUSC","PYRADASC","CYRADASC","PYRAFLSC","CYRAFLSC","PYRUSCOSC","CYRUSCOSC","SEATSTCODE","SEATSTAT","DISTRICTID","SEATID","PARTYCODE","FIRSTNAME","LASTNAME","MIDNAME","NICKNAME","PREFIX","GENSUFFIX","TITLE","PROFSUFFIX","GENDER","LEGALNAME","PRONUNCTON","BIRTHPLACE","BIRTHYEAR","BIRTHMONTH","BIRTHDATE","MARITAL","SPOUSE","RESIDENCE","FAMILY","RELIGCODE","RELIGION","ETHCODE","ETHNICS","REOFC1","REOFC1DATE","REOFC2","REOFC2DATE","RECOCCODE1","RECENTOCC1","RECOCCODE2","RECENTOCC2","SCHOOL1","DEGREE1","EDUDATE1","SCHOOL2","DEGREE2","EDUDATE2","SCHOOL3","DEGREE3","EDUDATE3","MILBRANCH1","MILRANK1","MILDATES1","MILBRANCH2","MILRANK2","MILDATES2","MAILNAME","MAILTITLE","MAILADDR1","MAILADDR2","MAILADDR3","MAILADDR4","MAILADDR5","EMAIL","WEBFORM","WEBSITE","WEBLOG","FACEBOOK","TWITTER","YOUTUBE","PHOTOPATH","PHOTOFILE"
22325,283506,"SL","H",75,"WV","West Virginia","037","A","",38,87.700000000000003,"2009","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6837,554,"D","Meshea","Poore","L.","Meshea","Del.","","West Virginia Delegate","","F","Meshea La'Shawn Poore","","Charleston, WV","1975","09","02","Not Stated","","Charleston, WV","","BAP","Baptist",1,"Black/African American","Chairman, WV State Subcommittee B","2013","Chairman, WV State House Committee on Enrolled Bills","2013","LAW","Attorney, Owner","LAW","Public Defender","Southern University Law Center, Baton Rouge (LA)","J.D.","2013","Howard University, Washington (DC)","Bach. Deg.","2013","Capital High School","","2013","","","","","","","Del. Meshea Poore","West Virginia Representative","Room 208-E","State Capitol - Building 1","1900 Kanawha Boulevard East","","Charleston, WV 25305","meshea.poore@wvhouse.gov","","http://www.legis.state.wv.us/House/Members/delmemview1.cfm?input=Delegate%20Poore","","http://www.facebook.com/profile.php?id=1613754306","http://twitter.com/mesheapoore","","Images\Photos\SL\WV\H","Poore_Meshea_283506.jpg"
22437,199689,"SL","H",108,"VT","Vermont","005","","",34,54,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6423,7310,"R","Harvey","Smith","T.","Harvey","Rep.","","Vermont Representative","","M","Harvey T. Smith","","Nashua, NH","1945","06","02","Married","Donna Gerry","New Haven, VT","2 children","CON","Congregationalist",5,"White/Caucasian","Member, VT State House of Representatives","1998-2006","","","AGR","Dairy Farmer","","","University of New Hampshire (NH)","A.A.","1966","","","","","","","","","","","","","Rep. Harvey Smith","Vermont Representative","","State House","115 State Street","","Montpelier, VT 05633-5501","hsmith@leg.state.vt.us","","http://www.leg.state.vt.us/lms/legdir/alpha.asp?Body=H&Session=2014#S","","","","","Images\Photos\SL\VT\H","Smith_Harvey_199689.jpg"
22504,199756,"SL","S",12,"WA","Washington","039","","",5,58.600000000000001,"1996","2012","G","",0,0,0,0,0,0,0,0,"AOK","Retiring at end of term",6787,469,"R","Val","Stevens","","Val","Sen.","","Washington Senator","","F","Val Stevens","","","","","","Married","Keith Stevens","Arlington, WA","2 children ; 5 grandchildren","BAP","Baptist",5,"White/Caucasian","Member, WA State House of Representatives","1992-1996","Member, State Chair, American Legislative Exchange Council","1992-1996","PUB","Full Time Legislator","BUS","Interior Decorator","Washington Public Schools and College","","1992-1996","","","","","","","","","","","","","Sen. Val Stevens","Washington Senator","","Irving R. Newhouse Building","PO Box 40439","","Olympia, WA 98504-0439","val.stevens@leg.wa.gov","https://dlr.leg.wa.gov/memberemail/mailform.aspx?chamber=s&district=39","http://www.leg.wa.gov/senate/senators/pages/stevens.aspx","http://senatorvalstevens.blogspot.com","","","","Images\Photos\SL\WA\S","Stevens_Val_199756.jpg"
22557,296256,"SL","H",81,"WA","Washington","022","A","",46,60.700000000000003,"2010","2012","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6721,7689,"D","Chris","Reykdal","","Chris","Rep.","","Washington Representative","","M","Chris P. Reykdal","","Snohomish, WA","","","","Married","Kim","Tumwater, WA","2 children ","","",5,"White/Caucasian","Member, Tumwater School Board","1984","Member, Tumwater City Planning Commission","1984","PUB","Deputy Executive Director","PUB","Aide","University of North Carolina School of Government, Chapel Hill","M.P.A.","1984","Washington State University","Bach. Deg.","1984","","","","","","","","","","Rep. Chris Reykdal","Washington Representative","","Legislative Building","PO Box 40600","","Olympia, WA 98504-0600","chris.reykdal@leg.wa.gov","https://dlr.leg.wa.gov/memberemail/mailform.aspx?chamber=h&district=22&position=1","http://www.leg.wa.gov/house/representatives/pages/reykdal.aspx","","","","","Images\Photos\SL\WA\H","Reykdal_Chris_296256.jpg"
22616,199902,"SL","S",23,"WI","Wisconsin","001","","",12,60,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Running for other office",6982,711,"R","Frank","Lasee","","Frank","Sen.","","Wisconsin Senator","","M","Frank G. Lasee","","Oceanside, CA","1961","12","11","Married","Amy Joy","Bellevue, WI","6 children","CHC","Christian Church",5,"White/Caucasian","Candidate, WI State Assembly District 02 (WI002)","2008","Member, WI State Assembly (WI002)","1994-2008","BUS","Senior Manager","REL","Sales","University of Wisconsin, Green Bay","B.A.","1986","","","","","","","","","","","","","Sen. Frank Lasee","Wisconsin Senator","","","PO Box 7882","","Madison, WI 53702","Sen.Lasee@legis.wisconsin.gov","","http://legis.wisconsin.gov/w3asp/contact/legislatorpages.aspx?house=Senate&district=1","","http://www.facebook.com/franklasee","","","Images\Photos\SL\WI\S","Lasee_Frank_199902.jpg"
22663,416950,"SL","H",87,"WI","Wisconsin","015","","",54,58.299999999999997,"2012","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6897,626,"R","Joe","Sanfelippo","","Joe","Rep.","","Wisconsin Representative","","M","Joe Sanfelippo","","","","","","Married","Becky","West Allis, WI","3 children ","","",5,"White/Caucasian","Member (WI015 R), WI State Assembly","2013-Current","","","BUS","Owner of landscaping business","","","Marquette University (WI)","Att.","2013-Current","Thomas More High School (WI)","","2013-Current","","","","","","","","","","Rep. Joe Sanfelippo","Wisconsin Representative","","State Capitol","PO Box 8953","","Madison, WI 53708-8953","Rep.Sanfelippo@legis.wi.gov","","","","","","","",""
22706,310248,"SL","H",59,"WI","Wisconsin","052","","",40,60.700000000000003,"2010","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6934,663,"R","Jeremy","Thiesfeldt","J.","Jeremy","Rep.","","Wisconsin Representative","","M","Jeremy John Thiesfeldt","","Fond du Lac, WI","1966","11","22","Married","Cinidy","Fond du Lac, WI","4 children ","LUT","Lutheran",5,"White/Caucasian","Vice Chair, WI State Assembly Committee on Urban and Local Affairs","2013","Member, Fond du Lac City Council","2005-2010","PUB","Full Time Legislator","EDU","Former Teacher, Coaching Softball, Basketball and Soccer","Martin Luther College (MN)","B.S.","1989","Kettle Moraine Lutheran High School","","1985","","","","","","","","","","Rep. Jeremy Thiesfeldt","Wisconsin Representative","","State Capitol","PO Box 8953","","Madison, WI 53708-8953","Rep.Thiesfeldt@legis.wi.gov","","http://legis.wisconsin.gov/w3asp/contact/legislatorpages.aspx?house=Assembly&district=52","","http://www.facebook.com/profile.php?id=100000537762131","","","Images\Photos\SL\WI\H","Thiesfeldt_Jeremy_310248.jpg"
22752,228336,"SL","H",26,"WI","Wisconsin","096","","",17,59.5,"2004","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6978,707,"R","Lee","Nerison","A.","Lee","Rep.","","Wisconsin Representative","","M","Lee A. Nerison","","La Crosse, WI","1952","07","31","Married","","Westby, WI","3 children; 2 grandchildren","","",5,"White/Caucasian","Chairman, WI State Assembly Committee on Agriculture","2013","Member (1998-2006), Chair (2002-2006), Vernon County Board","2013","AGR","Farmer, Former Dairy Farmer","","","University of Wisconsin","","1971","Viroqua High School","","1970","","","","","","","","","","Rep. Lee Nerison","Wisconsin Representative","","State Capitol","PO Box 8953","","Madison, WI 53708-8953","Rep.Nerison@legis.wisconsin.gov","","http://legis.wisconsin.gov/w3asp/contact/legislatorpages.aspx?house=Assembly&district=96","","","","","Images\Photos\SL\WI\H","Nerison_Lee_228336.jpg"
22813,270032,"SL","H",72,"WV","West Virginia","022","B","",36,31.199999999999999,"2008","2014","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6822,523,"D","Josh","Stowers","D.","Josh","Del.","","West Virginia Delegate","","M","Joshua Daniel Stowers","","Spartanburg, SC","1979","01","01","Married","Jennifer Bragg","Alum Creek, WV","1 child","USP","Protestant - Unspecified Christian",5,"White/Caucasian","Vice Chair, WV State Joint Select Interim Committee on Outcomes-Based Funding Models in Higher Education","2013","Vice Chair, WV State Joint Interim Committee on Parks, Recreation, and Natural Resources","2013","EDU","Assistant Principal","EDU","High School Biology Teacher","Marshall University (WV)","M.A.","2013","Concord College (WV)","B.S.","2013","","","","","","","","","","Del. Josh Stowers","West Virginia Representative","Room 212-E","State Capitol - Building 1","1900 Kanawha Boulevard East","","Charleston, WV 25305","josh.stowers@wvhouse.gov","","http://www.legis.state.wv.us/House/members/delmemview1.cfm?input=Delegate%20Stowers","","","http://twitter.com/Josh_Stowers","","Images\Photos\SL\WV\H","Stowers_Josh_270032.jpg"
22873,251630,"SL","H",35,"UT","Utah","062","","",26,69.299999999999997,"2007","2012","G","",0,0,0,0,0,0,0,0,"AOK","Normal",6375,7257,"R","Christopher","Herrod","N.","Chris","Rep.","","Utah Representative","","M","Christopher Niles Herrod","","Chicago, IL","1965","08","31","Married","Alia","Provo, UT","4 children ","MOR","Mormon",5,"White/Caucasian","","","","","EDU","Adjunct Professor","REL","Owner, Manager","Brigham Young University Marriot School of Management","M.A.","1982","Brigham Young University","B.A.","1982","Timpview High School (UT)","","1982","","","","","","","Rep. Christopher Herrod","Utah Representative","Suite 350","State Capitol ","350 North State Street","","Salt Lake City, UT 84114","cherrod@le.utah.gov","","http://le.utah.gov/house2/detail.jsp?i=HERROCN","","","","","Images\Photos\SL\UT\H","Herrod_Christopher_251630.jpg"
